Originating Device,Chassis ID,Port ID,Port Description,System Name,System Description,Local Intf
10.120.0.16,380e.4d5b.3156,Gi0,GigabitEthernet0,TBMNC-TC-LOG-AP02,,Te1/0/47
10.120.0.16,380e.4d5b.3134,Gi0,GigabitEthernet0,TBMNC-TC-LOG-AP01,,Te1/0/46
10.120.0.16,380e.4d5b.499c,Gi0,GigabitEthernet0,TBMNC-TC-LOG-AP03,,Te1/0/44
10.120.0.16,b8a4.4f61.ff6c,b8a4.4f61.ff6c,eth0,axis-b8a44f61ff6c,,
,,,,,,Te2/1/1
10.120.0.126,0cd0.f889.5c00,Te2/1/1,TBMNC-TC-CORE-SW1A  Gi2/1/1,TBMNC-TC-MDF-SW1A.toyota.com,,Te1/1/1
10.120.0.126,0cd0.f889.5c00,Te1/1/1,TBMNC-TC-CORE-SW1A  Gi1/1/1,TBMNC-TC-MDF-SW1A.toyota.com,,Te1/1/8
10.120.0.126,6cdd.30c4.c100,Gi1/1/1,TBMNC-TC-CORE-SW1A  Gi1/1/8,TBMNC-TC-LOG-SW1A.toyota.com,,Te2/1/8
10.120.0.126,6cdd.30c4.c100,Gi1/1/2,TBMNC-TC-CORE-SW1A  Gi2/1/8,TBMNC-TC-LOG-SW1A.toyota.com,,Te2/1/7
10.120.0.126,6cdd.30f8.0b00,Gi2/1/1,TBMNC-TC-CORE-SW1A  Gi2/1/7,TBMNC-TC-EMR-SW1A.toyota.com,,Te1/1/4
10.120.0.126,7035.0950.6d00,Gi1/1/1,TBMNC-TC-CORE-SW1A  Gi1/1/4,TBMNC-TC-IT-SW1A.toyota.com,,Te2/1/9
10.120.0.126,6cdd.30c4.b780,Gi2/1/1,TBMNC-TC-CORE-SW1A  Gi2/1/9,TBMNC-TC-ENF-SW1A.toyota.com,,Te1/1/9
10.120.0.126,6cdd.30c4.b780,Gi1/1/1,TBMNC-TC-CORE-SW1A  Gi1/1/9,TBMNC-TC-ENF-SW1A.toyota.com,,Te1/1/7
10.120.0.126,6cdd.30f8.0b00,Gi1/1/1,TBMNC-TC-CORE-SW1A  Gi1/1/7,TBMNC-TC-EMR-SW1A.toyota.com,,Te2/1/4
10.120.0.126,7035.0950.6d00,Gi2/1/1,TBMNC-TC-CORE-SW1A  Gi2/1/4,TBMNC-TC-IT-SW1A.toyota.com,,Te2/1/5
10.120.0.126,f87b.2003.5c80,Gi1/1/1,TBMNC-TC-CORE-SW1A  Gi1/1/5,TBMNC-TC-GH-SW1A.toyota.com,,Te1/1/5
10.120.0.126,f87b.2003.5c80,Gi1/1/2,TBMNC-TC-CORE-SW1A  Gi2/1/5,TBMNC-TC-GH-SW1A.toyota.com,,Te1/1/6
10.120.0.126,00b0.e1ba.6780,Gi1/1/1,TBMNC-TC-CORE-SW1A  Gi1/1/6,TBMNC-TC-ORO-SW1A.toyota.com,,Te2/1/6
10.120.0.126,00b0.e1ba.6780,Gi2/1/1,TBMNC-TC-CORE-SW1A  Gi2/1/6,TBMNC-TC-ORO-SW1A.toyota.com,,
